place_id,name,address,zip,city,rating,user_ratings_total,business_status,lat,lng,types
ABRA-000023,District Liquors,"1211 11TH STREET NW, WASHINGTON, DC 20001",20001,Washington,,,OPERATIONAL,38.905859366271,-77.026964079872,
ABRA-000037,Riverside Liquors,"2123 E STREET NW, WASHINGTON, DC 20037",20037,Washington,,,CLOSED_TEMPORARILY,38.89607851097,-77.047014925035,
ABRA-000104,Bassin's Mac Arthur Liquors,"4877 MACARTHUR BLVD NW, WASHINGTON, DC 20007",20007,Washington,,,OPERATIONAL,38.917728395658,-77.096953147262,
ABRA-000200,Chat's Liquors,"503 8TH STREET SE, WASHINGTON, DC 20003",20003,Washington,,,OPERATIONAL,38.882657350312,-76.995048823019,
ABRA-000252,Schneider's of Capitol Hill,"300 MASSACHUSETTS AVE NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.894631907155,-77.00193615743,
ABRA-000301,Irving Wine & Spirits,"3100 MOUNT PLEASANT STREET NW, WASHINGTON, DC 20010",20010,Washington,,,OPERATIONAL,38.928771988309,-77.037445157283,
ABRA-000343,Cairo Liquor Store,"1618 17TH STREET NW, WASHINGTON, DC 20009",20009,Washington,,,OPERATIONAL,38.911743113232,-77.038559337569,
ABRA-000420,Jumbo Liquors,"1122 H STREET NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.900254508047,-76.991198733564,
ABRA-000437,"Hayden's, Inc.","700 NORTH CAROLINA AVE SE, WASHINGTON, DC 20003",20003,Washington,,,OPERATIONAL,38.887458633397,-76.996163992094,
ABRA-001006,A Litteri Inc,"517 MORSE STREET NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.907270304285,-76.998757251939,
ABRA-001926,Potomac Wines And Spirits,"3100 M STREET NW, WASHINGTON, DC 20007",20007,Washington,,,OPERATIONAL,38.905134918279,-77.061257324315,
ABRA-014405,Bestway Liquors,"2011 14TH STREET NW, WASHINGTON, DC 20009",20009,Washington,,,OPERATIONAL,38.917159690707,-77.031878065998,
ABRA-014553,Ace Beverage,"3301 NEW MEXICO AVENUE NW, WASHINGTON, DC 20016",20016,Washington,,,OPERATIONAL,38.932948524519,-77.085443114713,
ABRA-015699,Wagshals Liquor & Deli,"4855 MASSACHUSETTS AVENUE NW, WASHINGTON, DC 20016",20016,Washington,,,OPERATIONAL,38.945236384819,-77.095826293214,
ABRA-015724,Washington Wine & Spirits,"1200 E STREET NW, WASHINGTON, DC 20004",20004,Washington,,,OPERATIONAL,38.896071918871,-77.028155325778,
ABRA-016866,South Capitol Liquors,"4652 LIVINGSTON SE, WASHINGTON, DC 20032",20032,Washington,,,OPERATIONAL,38.82288657486,-77.001870291611,
ABRA-016969,Cleveland Park Liquors,"3423 CONNECTICUT AVENUE NW, WASHINGTON, DC 20008",20008,Washington,,,OPERATIONAL,38.934934345342,-77.058065874754,
ABRA-019598,Takoma Park Liquors,"6200 EASTERN AVENUE NE, WASHINGTON, DC 20011",20011,Washington,,,OPERATIONAL,38.96495176532,-77.001604423706,
ABRA-019710,Florida Liquors,"2222 14TH STREET NW, WASHINGTON, DC 20009",20009,Washington,,,OPERATIONAL,38.919414829356,-77.032025347147,
ABRA-023501,"New Da Hsin Trading, Inc","811 7TH STREET NW, WASHINGTON, DC 20001",20001,Washington,,,OPERATIONAL,38.899964151153,-77.021843087855,
